season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2026,110,13,Round 13,Round 13,0,2026-06-06,Carrara Stadium,Gold Coast,Brisbane,11,9,75,15,16,106
2026,111,13,Round 13,Round 13,0,2026-06-06,Perth Stadium,West Coast,Port Adelaide,10,11,71,11,11,77
2026,112,13,Round 13,Round 13,0,2026-06-07,SCG,Sydney,St Kilda,15,14,104,15,12,102
2026,113,13,Round 13,Round 13,0,2026-06-07,MCG,Essendon,Carlton,10,7,67,10,12,72
2026,114,13,Round 13,Round 13,0,2026-06-08,MCG,Collingwood,Melbourne,11,9,75,12,11,83
2026,115,14,Round 14,Round 14,0,2026-06-11,Docklands Stadium,Western Bulldogs,Adelaide,9,10,64,19,7,121
2026,116,14,Round 14,Round 14,0,2026-06-12,Kardinia Park,Geelong,Gold Coast,15,15,105,8,12,60
2026,117,14,Round 14,Round 14,0,2026-06-13,MCG,Melbourne,Essendon,13,17,95,6,14,50
2026,118,14,Round 14,Round 14,0,2026-06-13,Perth Stadium,North Melbourne,West Coast,10,14,74,10,13,73
2026,119,14,Round 14,Round 14,0,2026-06-13,Adelaide Oval,Port Adelaide,Sydney,13,12,90,14,9,93
2026,120,14,Round 14,Round 14,0,2026-06-14,Bellerive Oval,Richmond,Brisbane,12,8,80,17,13,115
2026,121,14,Round 14,Round 14,0,2026-06-14,Docklands Stadium,St Kilda,GWS,14,12,96,13,10,88
2026,122,15,Round 15,Round 15,0,2026-06-18,Perth Stadium,Fremantle,Geelong,14,15,99,14,6,90
2026,123,15,Round 15,Round 15,0,2026-06-19,Carrara Stadium,Gold Coast,Hawthorn,14,13,97,17,11,113
2026,124,15,Round 15,Round 15,0,2026-06-20,Adelaide Oval,Adelaide,Melbourne,NA,NA,NA,NA,NA,NA
2026,125,15,Round 15,Round 15,0,2026-06-20,Sydney Showground Stadium,GWS,Carlton,NA,NA,NA,NA,NA,NA
2026,126,15,Round 15,Round 15,0,2026-06-20,MCG,Collingwood,Port Adelaide,NA,NA,NA,NA,NA,NA
2026,127,15,Round 15,Round 15,0,2026-06-21,MCG,Richmond,North Melbourne,NA,NA,NA,NA,NA,NA
2026,128,15,Round 15,Round 15,0,2026-06-21,Docklands Stadium,St Kilda,Western Bulldogs,NA,NA,NA,NA,NA,NA
2026,129,16,Round 16,Round 16,0,2026-06-25,Gabba,Brisbane,Sydney,NA,NA,NA,NA,NA,NA
2026,130,16,Round 16,Round 16,0,2026-06-26,MCG,Hawthorn,GWS,NA,NA,NA,NA,NA,NA
2026,131,16,Round 16,Round 16,0,2026-06-27,Docklands Stadium,Carlton,West Coast,NA,NA,NA,NA,NA,NA
2026,132,16,Round 16,Round 16,0,2026-06-27,MCG,Collingwood,Richmond,NA,NA,NA,NA,NA,NA
2026,133,16,Round 16,Round 16,0,2026-06-27,Adelaide Oval,Port Adelaide,Adelaide,NA,NA,NA,NA,NA,NA
2026,134,16,Round 16,Round 16,0,2026-06-28,Docklands Stadium,North Melbourne,Essendon,NA,NA,NA,NA,NA,NA
2026,135,16,Round 16,Round 16,0,2026-06-28,Perth Stadium,Fremantle,Gold Coast,NA,NA,NA,NA,NA,NA
2026,136,17,Round 17,Round 17,0,2026-07-02,Kardinia Park,Geelong,Brisbane,NA,NA,NA,NA,NA,NA
2026,137,17,Round 17,Round 17,0,2026-07-03,SCG,Sydney,Western Bulldogs,NA,NA,NA,NA,NA,NA
2026,138,17,Round 17,Round 17,0,2026-07-03,Perth Stadium,West Coast,Adelaide,NA,NA,NA,NA,NA,NA
2026,139,17,Round 17,Round 17,0,2026-07-04,York Park,Hawthorn,Melbourne,NA,NA,NA,NA,NA,NA
2026,140,17,Round 17,Round 17,0,2026-07-04,Manuka Oval,GWS,Fremantle,NA,NA,NA,NA,NA,NA
2026,141,17,Round 17,Round 17,0,2026-07-04,Carrara Stadium,Gold Coast,Collingwood,NA,NA,NA,NA,NA,NA
2026,142,17,Round 17,Round 17,0,2026-07-04,MCG,Richmond,Carlton,NA,NA,NA,NA,NA,NA
2026,143,17,Round 17,Round 17,0,2026-07-05,Docklands Stadium,Essendon,St Kilda,NA,NA,NA,NA,NA,NA
2026,144,17,Round 17,Round 17,0,2026-07-05,Adelaide Oval,Port Adelaide,North Melbourne,NA,NA,NA,NA,NA,NA
2026,145,18,Round 18,Round 18,0,2026-07-09,Perth Stadium,Fremantle,Sydney,NA,NA,NA,NA,NA,NA
2026,146,18,Round 18,Round 18,0,2026-07-10,Docklands Stadium,Collingwood,North Melbourne,NA,NA,NA,NA,NA,NA
2026,147,18,Round 18,Round 18,0,2026-07-11,Docklands Stadium,St Kilda,Port Adelaide,NA,NA,NA,NA,NA,NA
2026,148,18,Round 18,Round 18,0,2026-07-11,Sydney Showground Stadium,GWS,Geelong,NA,NA,NA,NA,NA,NA
2026,149,18,Round 18,Round 18,0,2026-07-11,MCG,Carlton,Hawthorn,NA,NA,NA,NA,NA,NA
2026,150,18,Round 18,Round 18,0,2026-07-11,Adelaide Oval,Adelaide,Gold Coast,NA,NA,NA,NA,NA,NA
2026,151,18,Round 18,Round 18,0,2026-07-12,Docklands Stadium,Western Bulldogs,West Coast,NA,NA,NA,NA,NA,NA
2026,152,18,Round 18,Round 18,0,2026-07-12,MCG,Melbourne,Richmond,NA,NA,NA,NA,NA,NA
2026,153,18,Round 18,Round 18,0,2026-07-12,Gabba,Brisbane,Essendon,NA,NA,NA,NA,NA,NA
