season,match_id,round_number,round,round_name,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2024,85,10,Round 10,Round 10,2024-05-18,Sydney Showground Stadium,GWS,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,86,10,Round 10,Round 10,2024-05-18,Gabba,Brisbane,Richmond,NA,NA,NA,NA,NA,NA
2024,87,10,Round 10,Round 10,2024-05-18,Docklands Stadium,St Kilda,Fremantle,NA,NA,NA,NA,NA,NA
2024,88,10,Round 10,Round 10,2024-05-19,Docklands Stadium,Essendon,North Melbourne,NA,NA,NA,NA,NA,NA
2024,89,10,Round 10,Round 10,2024-05-19,Adelaide Oval,Port Adelaide,Hawthorn,NA,NA,NA,NA,NA,NA
2024,90,10,Round 10,Round 10,2024-05-19,Perth Stadium,West Coast,Melbourne,NA,NA,NA,NA,NA,NA
2024,91,11,Round 11,Round 11,2024-05-23,Docklands Stadium,Western Bulldogs,Sydney,NA,NA,NA,NA,NA,NA
2024,92,11,Round 11,Round 11,2024-05-24,Perth Stadium,Fremantle,Collingwood,NA,NA,NA,NA,NA,NA
2024,93,11,Round 11,Round 11,2024-05-25,Docklands Stadium,Carlton,Gold Coast,NA,NA,NA,NA,NA,NA
2024,94,11,Round 11,Round 11,2024-05-25,Bellerive Oval,North Melbourne,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,95,11,Round 11,Round 11,2024-05-25,Kardinia Park,Geelong,GWS,NA,NA,NA,NA,NA,NA
2024,96,11,Round 11,Round 11,2024-05-25,MCG,Richmond,Essendon,NA,NA,NA,NA,NA,NA
2024,97,11,Round 11,Round 11,2024-05-26,Docklands Stadium,Hawthorn,Brisbane,NA,NA,NA,NA,NA,NA
2024,98,11,Round 11,Round 11,2024-05-26,MCG,Melbourne,St Kilda,NA,NA,NA,NA,NA,NA
2024,99,11,Round 11,Round 11,2024-05-26,Adelaide Oval,Adelaide,West Coast,NA,NA,NA,NA,NA,NA
2024,100,12,Round 12,Round 12,2024-05-30,Adelaide Oval,Port Adelaide,Carlton,NA,NA,NA,NA,NA,NA
2024,101,12,Round 12,Round 12,2024-05-31,Docklands Stadium,Collingwood,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,102,12,Round 12,Round 12,2024-06-01,MCG,Hawthorn,Adelaide,NA,NA,NA,NA,NA,NA
2024,103,12,Round 12,Round 12,2024-06-01,Perth Stadium,West Coast,St Kilda,NA,NA,NA,NA,NA,NA
2024,104,12,Round 12,Round 12,2024-06-01,Kardinia Park,Geelong,Richmond,NA,NA,NA,NA,NA,NA
2024,105,12,Round 12,Round 12,2024-06-02,Traeger Park,Melbourne,Fremantle,NA,NA,NA,NA,NA,NA
2024,106,12,Round 12,Round 12,2024-06-02,Carrara Stadium,Gold Coast,Essendon,NA,NA,NA,NA,NA,NA
2024,107,13,Round 13,Round 13,2024-06-06,Adelaide Oval,Adelaide,Richmond,NA,NA,NA,NA,NA,NA
2024,108,13,Round 13,Round 13,2024-06-07,Docklands Stadium,Western Bulldogs,Brisbane,NA,NA,NA,NA,NA,NA
2024,109,13,Round 13,Round 13,2024-06-08,York Park,Hawthorn,GWS,NA,NA,NA,NA,NA,NA
2024,110,13,Round 13,Round 13,2024-06-08,Perth Stadium,West Coast,North Melbourne,NA,NA,NA,NA,NA,NA
2024,111,13,Round 13,Round 13,2024-06-08,Docklands Stadium,St Kilda,Gold Coast,NA,NA,NA,NA,NA,NA
2024,112,13,Round 13,Round 13,2024-06-09,SCG,Sydney,Geelong,NA,NA,NA,NA,NA,NA
2024,113,13,Round 13,Round 13,2024-06-09,MCG,Essendon,Carlton,NA,NA,NA,NA,NA,NA
2024,114,13,Round 13,Round 13,2024-06-10,MCG,Collingwood,Melbourne,NA,NA,NA,NA,NA,NA
2024,115,14,Round 14,Round 14,2024-06-14,Gabba,Brisbane,St Kilda,NA,NA,NA,NA,NA,NA
2024,116,14,Round 14,Round 14,2024-06-15,Docklands Stadium,Western Bulldogs,Fremantle,NA,NA,NA,NA,NA,NA
2024,117,14,Round 14,Round 14,2024-06-15,MCG,Richmond,Hawthorn,NA,NA,NA,NA,NA,NA
2024,118,14,Round 14,Round 14,2024-06-15,Adelaide Oval,Adelaide,Sydney,NA,NA,NA,NA,NA,NA
2024,119,14,Round 14,Round 14,2024-06-16,Docklands Stadium,North Melbourne,Collingwood,NA,NA,NA,NA,NA,NA
2024,120,14,Round 14,Round 14,2024-06-16,Sydney Showground Stadium,GWS,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,121,15,Round 15,Round 15,2024-06-21,MCG,Carlton,Geelong,NA,NA,NA,NA,NA,NA
2024,122,15,Round 15,Round 15,2024-06-22,Adelaide Oval,Port Adelaide,Brisbane,NA,NA,NA,NA,NA,NA
2024,123,15,Round 15,Round 15,2024-06-22,Sydney Showground Stadium,GWS,Sydney,NA,NA,NA,NA,NA,NA
2024,124,15,Round 15,Round 15,2024-06-22,MCG,Melbourne,North Melbourne,NA,NA,NA,NA,NA,NA
2024,125,15,Round 15,Round 15,2024-06-23,Docklands Stadium,Essendon,West Coast,NA,NA,NA,NA,NA,NA
2024,126,15,Round 15,Round 15,2024-06-23,Perth Stadium,Fremantle,Gold Coast,NA,NA,NA,NA,NA,NA
2024,127,16,Round 16,Round 16,2024-06-28,Gabba,Brisbane,Melbourne,NA,NA,NA,NA,NA,NA
2024,128,16,Round 16,Round 16,2024-06-28,MCG,Geelong,Essendon,NA,NA,NA,NA,NA,NA
2024,129,16,Round 16,Round 16,2024-06-28,Carrara Stadium,Gold Coast,Collingwood,NA,NA,NA,NA,NA,NA
2024,130,16,Round 16,Round 16,2024-06-28,Docklands Stadium,North Melbourne,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,131,16,Round 16,Round 16,2024-06-28,MCG,Richmond,Carlton,NA,NA,NA,NA,NA,NA
2024,132,16,Round 16,Round 16,2024-06-28,Docklands Stadium,St Kilda,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,133,16,Round 16,Round 16,2024-06-28,SCG,Sydney,Fremantle,NA,NA,NA,NA,NA,NA
2024,134,16,Round 16,Round 16,2024-06-28,Adelaide Oval,Adelaide,GWS,NA,NA,NA,NA,NA,NA
2024,135,16,Round 16,Round 16,2024-06-28,Perth Stadium,West Coast,Hawthorn,NA,NA,NA,NA,NA,NA
2024,136,17,Round 17,Round 17,2024-07-05,Gabba,Brisbane,Adelaide,NA,NA,NA,NA,NA,NA
2024,137,17,Round 17,Round 17,2024-07-05,MCG,Collingwood,Essendon,NA,NA,NA,NA,NA,NA
2024,138,17,Round 17,Round 17,2024-07-05,Kardinia Park,Geelong,Hawthorn,NA,NA,NA,NA,NA,NA
2024,139,17,Round 17,Round 17,2024-07-05,Sydney Showground Stadium,GWS,Carlton,NA,NA,NA,NA,NA,NA
2024,140,17,Round 17,Round 17,2024-07-05,MCG,Melbourne,West Coast,NA,NA,NA,NA,NA,NA
2024,141,17,Round 17,Round 17,2024-07-05,Docklands Stadium,North Melbourne,Gold Coast,NA,NA,NA,NA,NA,NA
2024,142,17,Round 17,Round 17,2024-07-05,Docklands Stadium,St Kilda,Sydney,NA,NA,NA,NA,NA,NA
2024,143,17,Round 17,Round 17,2024-07-05,Adelaide Oval,Port Adelaide,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,144,17,Round 17,Round 17,2024-07-05,Perth Stadium,Fremantle,Richmond,NA,NA,NA,NA,NA,NA
2024,145,18,Round 18,Round 18,2024-07-12,MCG,Collingwood,Geelong,NA,NA,NA,NA,NA,NA
2024,146,18,Round 18,Round 18,2024-07-12,Carrara Stadium,Gold Coast,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,147,18,Round 18,Round 18,2024-07-12,York Park,Hawthorn,Fremantle,NA,NA,NA,NA,NA,NA
2024,148,18,Round 18,Round 18,2024-07-12,MCG,Melbourne,Essendon,NA,NA,NA,NA,NA,NA
2024,149,18,Round 18,Round 18,2024-07-12,MCG,Richmond,GWS,NA,NA,NA,NA,NA,NA
2024,150,18,Round 18,Round 18,2024-07-12,SCG,Sydney,North Melbourne,NA,NA,NA,NA,NA,NA
2024,151,18,Round 18,Round 18,2024-07-12,Docklands Stadium,Western Bulldogs,Carlton,NA,NA,NA,NA,NA,NA
2024,152,18,Round 18,Round 18,2024-07-12,Adelaide Oval,Adelaide,St Kilda,NA,NA,NA,NA,NA,NA
2024,153,18,Round 18,Round 18,2024-07-12,Perth Stadium,West Coast,Brisbane,NA,NA,NA,NA,NA,NA
2024,154,19,Round 19,Round 19,2024-07-19,Gabba,Brisbane,Sydney,NA,NA,NA,NA,NA,NA
2024,155,19,Round 19,Round 19,2024-07-19,Docklands Stadium,Carlton,North Melbourne,NA,NA,NA,NA,NA,NA
2024,156,19,Round 19,Round 19,2024-07-19,Docklands Stadium,Essendon,Adelaide,NA,NA,NA,NA,NA,NA
2024,157,19,Round 19,Round 19,2024-07-19,Kardinia Park,Geelong,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,158,19,Round 19,Round 19,2024-07-19,Sydney Showground Stadium,GWS,Gold Coast,NA,NA,NA,NA,NA,NA
2024,159,19,Round 19,Round 19,2024-07-19,MCG,Hawthorn,Collingwood,NA,NA,NA,NA,NA,NA
2024,160,19,Round 19,Round 19,2024-07-19,Docklands Stadium,St Kilda,West Coast,NA,NA,NA,NA,NA,NA
2024,161,19,Round 19,Round 19,2024-07-19,Adelaide Oval,Port Adelaide,Richmond,NA,NA,NA,NA,NA,NA
2024,162,19,Round 19,Round 19,2024-07-19,Perth Stadium,Fremantle,Melbourne,NA,NA,NA,NA,NA,NA
2024,163,20,Round 20,Round 20,2024-07-26,Docklands Stadium,Carlton,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,164,20,Round 20,Round 20,2024-07-26,MCG,Collingwood,Richmond,NA,NA,NA,NA,NA,NA
2024,165,20,Round 20,Round 20,2024-07-26,Carrara Stadium,Gold Coast,Brisbane,NA,NA,NA,NA,NA,NA
2024,166,20,Round 20,Round 20,2024-07-26,MCG,Melbourne,GWS,NA,NA,NA,NA,NA,NA
2024,167,20,Round 20,Round 20,2024-07-26,Bellerive Oval,North Melbourne,Geelong,NA,NA,NA,NA,NA,NA
2024,168,20,Round 20,Round 20,2024-07-26,Docklands Stadium,St Kilda,Essendon,NA,NA,NA,NA,NA,NA
2024,169,20,Round 20,Round 20,2024-07-26,SCG,Sydney,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,170,20,Round 20,Round 20,2024-07-26,Adelaide Oval,Adelaide,Hawthorn,NA,NA,NA,NA,NA,NA
2024,171,20,Round 20,Round 20,2024-07-26,Perth Stadium,Fremantle,West Coast,NA,NA,NA,NA,NA,NA
2024,172,21,Round 21,Round 21,2024-08-02,MCG,Collingwood,Carlton,NA,NA,NA,NA,NA,NA
2024,173,21,Round 21,Round 21,2024-08-02,MCG,Essendon,Fremantle,NA,NA,NA,NA,NA,NA
2024,174,21,Round 21,Round 21,2024-08-02,Kardinia Park,Geelong,Adelaide,NA,NA,NA,NA,NA,NA
2024,175,21,Round 21,Round 21,2024-08-02,Manuka Oval,GWS,Hawthorn,NA,NA,NA,NA,NA,NA
2024,176,21,Round 21,Round 21,2024-08-02,Docklands Stadium,North Melbourne,Richmond,NA,NA,NA,NA,NA,NA
2024,177,21,Round 21,Round 21,2024-08-02,Docklands Stadium,St Kilda,Brisbane,NA,NA,NA,NA,NA,NA
2024,178,21,Round 21,Round 21,2024-08-02,Docklands Stadium,Western Bulldogs,Melbourne,NA,NA,NA,NA,NA,NA
2024,179,21,Round 21,Round 21,2024-08-02,Adelaide Oval,Port Adelaide,Sydney,NA,NA,NA,NA,NA,NA
2024,180,21,Round 21,Round 21,2024-08-02,Perth Stadium,West Coast,Gold Coast,NA,NA,NA,NA,NA,NA
2024,181,22,Round 22,Round 22,2024-08-09,Gabba,Brisbane,GWS,NA,NA,NA,NA,NA,NA
2024,182,22,Round 22,Round 22,2024-08-09,MCG,Carlton,Hawthorn,NA,NA,NA,NA,NA,NA
2024,183,22,Round 22,Round 22,2024-08-09,Docklands Stadium,Essendon,Gold Coast,NA,NA,NA,NA,NA,NA
2024,184,22,Round 22,Round 22,2024-08-09,MCG,Melbourne,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,185,22,Round 22,Round 22,2024-08-09,Bellerive Oval,North Melbourne,West Coast,NA,NA,NA,NA,NA,NA
2024,186,22,Round 22,Round 22,2024-08-09,Docklands Stadium,Richmond,St Kilda,NA,NA,NA,NA,NA,NA
2024,187,22,Round 22,Round 22,2024-08-09,SCG,Sydney,Collingwood,NA,NA,NA,NA,NA,NA
2024,188,22,Round 22,Round 22,2024-08-09,Adelaide Oval,Adelaide,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,189,22,Round 22,Round 22,2024-08-09,Perth Stadium,Fremantle,Geelong,NA,NA,NA,NA,NA,NA
2024,190,23,Round 23,Round 23,2024-08-16,MCG,Collingwood,Brisbane,NA,NA,NA,NA,NA,NA
2024,191,23,Round 23,Round 23,2024-08-16,Docklands Stadium,Essendon,Sydney,NA,NA,NA,NA,NA,NA
2024,192,23,Round 23,Round 23,2024-08-16,Carrara Stadium,Gold Coast,Melbourne,NA,NA,NA,NA,NA,NA
2024,193,23,Round 23,Round 23,2024-08-16,Sydney Showground Stadium,GWS,Fremantle,NA,NA,NA,NA,NA,NA
2024,194,23,Round 23,Round 23,2024-08-16,MCG,Hawthorn,Richmond,NA,NA,NA,NA,NA,NA
2024,195,23,Round 23,Round 23,2024-08-16,Docklands Stadium,St Kilda,Geelong,NA,NA,NA,NA,NA,NA
2024,196,23,Round 23,Round 23,2024-08-16,Docklands Stadium,Western Bulldogs,North Melbourne,NA,NA,NA,NA,NA,NA
2024,197,23,Round 23,Round 23,2024-08-16,Adelaide Oval,Port Adelaide,Adelaide,NA,NA,NA,NA,NA,NA
2024,198,23,Round 23,Round 23,2024-08-16,Perth Stadium,West Coast,Carlton,NA,NA,NA,NA,NA,NA
2024,199,24,Round 24,Round 24,2024-08-23,Gabba,Brisbane,Essendon,NA,NA,NA,NA,NA,NA
2024,200,24,Round 24,Round 24,2024-08-23,Docklands Stadium,Carlton,St Kilda,NA,NA,NA,NA,NA,NA
2024,201,24,Round 24,Round 24,2024-08-23,Kardinia Park,Geelong,West Coast,NA,NA,NA,NA,NA,NA
2024,202,24,Round 24,Round 24,2024-08-23,York Park,Hawthorn,North Melbourne,NA,NA,NA,NA,NA,NA
2024,203,24,Round 24,Round 24,2024-08-23,MCG,Melbourne,Collingwood,NA,NA,NA,NA,NA,NA
2024,204,24,Round 24,Round 24,2024-08-23,MCG,Richmond,Gold Coast,NA,NA,NA,NA,NA,NA
2024,205,24,Round 24,Round 24,2024-08-23,SCG,Sydney,Adelaide,NA,NA,NA,NA,NA,NA
2024,206,24,Round 24,Round 24,2024-08-23,Eureka Stadium,Western Bulldogs,GWS,NA,NA,NA,NA,NA,NA
2024,207,24,Round 24,Round 24,2024-08-23,Perth Stadium,Fremantle,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,208,25,Round 25,Finals Week 1,2024-09-05,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,209,25,Round 25,Finals Week 1,2024-09-05,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,210,25,Round 25,Finals Week 1,2024-09-05,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,211,25,Round 25,Finals Week 1,2024-09-05,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,212,26,Round 26,Semi-Finals,2024-09-12,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,213,26,Round 26,Semi-Finals,2024-09-12,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,214,27,Round 27,Preliminary Finals,2024-09-19,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,215,27,Round 27,Preliminary Finals,2024-09-19,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2024,216,28,Round 28,Grand Final,2024-09-26,MCG,NA,NA,NA,NA,NA,NA,NA,NA
