season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2014,4440,4,Round 4,Round 4,0,2014-04-12,Carrara Stadium,Gold Coast,Hawthorn,7,7,49,23,10,148
2014,4441,4,Round 4,Round 4,0,2014-04-13,SCG,Sydney,North Melbourne,6,12,48,13,13,91
2014,4442,4,Round 4,Round 4,0,2014-04-13,Docklands Stadium,St Kilda,Adelaide,7,8,50,20,16,136
2014,4443,4,Round 4,Round 4,0,2014-04-13,Subiaco Oval,Fremantle,Essendon,18,5,113,9,6,60
2014,4444,5,Round 5,Round 5,0,2014-04-17,Gabba,Brisbane,Richmond,9,9,63,15,16,106
2014,4445,5,Round 5,Round 5,0,2014-04-19,MCG,Collingwood,North Melbourne,13,15,93,8,10,58
2014,4446,5,Round 5,Round 5,0,2014-04-19,SCG,Sydney,Fremantle,13,14,92,11,9,75
2014,4447,5,Round 5,Round 5,0,2014-04-19,Docklands Stadium,Essendon,St Kilda,9,11,65,11,15,81
2014,4448,5,Round 5,Round 5,0,2014-04-19,Subiaco Oval,West Coast,Port Adelaide,7,14,56,10,10,70
2014,4449,5,Round 5,Round 5,0,2014-04-20,Adelaide Oval,Adelaide,GWS,21,11,137,10,12,72
2014,4450,5,Round 5,Round 5,0,2014-04-20,MCG,Melbourne,Gold Coast,11,12,78,11,20,86
2014,4451,5,Round 5,Round 5,0,2014-04-20,Docklands Stadium,Western Bulldogs,Carlton,13,13,91,18,11,119
2014,4452,5,Round 5,Round 5,0,2014-04-21,MCG,Geelong,Hawthorn,15,16,106,12,15,87
2014,4453,6,Round 6,Round 6,0,2014-04-25,MCG,Collingwood,Essendon,12,11,83,8,12,60
2014,4454,6,Round 6,Round 6,0,2014-04-25,Wellington Regional Stadium,St Kilda,Brisbane,11,13,79,12,10,82
2014,4455,6,Round 6,Round 6,0,2014-04-25,Subiaco Oval,Fremantle,North Melbourne,8,13,61,10,14,74
2014,4456,6,Round 6,Round 6,0,2014-04-26,Carrara Stadium,Gold Coast,GWS,20,14,134,13,16,94
2014,4457,6,Round 6,Round 6,0,2014-04-26,Docklands Stadium,Carlton,West Coast,14,8,92,12,17,89
2014,4458,6,Round 6,Round 6,0,2014-04-26,MCG,Melbourne,Sydney,5,8,38,9,15,69
2014,4459,6,Round 6,Round 6,0,2014-04-27,Docklands Stadium,Western Bulldogs,Adelaide,12,11,83,13,14,92
2014,4460,6,Round 6,Round 6,0,2014-04-27,MCG,Richmond,Hawthorn,7,10,52,18,10,118
2014,4461,6,Round 6,Round 6,0,2014-04-27,Adelaide Oval,Port Adelaide,Geelong,16,11,107,9,13,67
2014,4462,7,Round 7,Round 7,0,2014-05-02,MCG,Carlton,Collingwood,10,10,70,14,20,104
2014,4463,7,Round 7,Round 7,0,2014-05-03,MCG,Hawthorn,St Kilda,27,13,175,4,6,30
2014,4464,7,Round 7,Round 7,0,2014-05-03,Manuka Oval,GWS,Port Adelaide,15,7,97,20,12,132
2014,4465,7,Round 7,Round 7,0,2014-05-03,Adelaide Oval,Adelaide,Melbourne,9,13,67,11,4,70
2014,4466,7,Round 7,Round 7,0,2014-05-03,Gabba,Brisbane,Sydney,6,8,44,18,15,123
2014,4467,7,Round 7,Round 7,0,2014-05-03,Docklands Stadium,Essendon,Western Bulldogs,10,13,73,9,11,65
2014,4468,7,Round 7,Round 7,0,2014-05-04,Docklands Stadium,North Melbourne,Gold Coast,11,11,77,18,12,120
2014,4469,7,Round 7,Round 7,0,2014-05-04,MCG,Geelong,Richmond,11,15,81,12,4,76
2014,4470,7,Round 7,Round 7,0,2014-05-04,Subiaco Oval,West Coast,Fremantle,7,12,54,11,7,73
2014,4471,8,Round 8,Round 8,0,2014-05-09,Stadium Australia,Sydney,Hawthorn,15,17,107,13,10,88
2014,4472,8,Round 8,Round 8,0,2014-05-10,Adelaide Oval,Port Adelaide,Fremantle,13,16,94,11,10,76
2014,4473,8,Round 8,Round 8,0,2014-05-10,Gabba,Brisbane,Essendon,8,9,57,9,11,65
2014,4474,8,Round 8,Round 8,0,2014-05-10,MCG,Melbourne,Western Bulldogs,12,11,83,15,9,99
2014,4475,8,Round 8,Round 8,0,2014-05-11,Subiaco Oval,West Coast,GWS,30,8,188,12,5,77
2014,4476,8,Round 8,Round 8,0,2014-05-12,Docklands Stadium,St Kilda,Carlton,9,15,69,15,11,101
2014,4477,9,Round 9,Round 9,0,2014-05-15,Adelaide Oval,Adelaide,Collingwood,10,16,76,7,13,55
2014,4478,9,Round 9,Round 9,0,2014-05-16,Docklands Stadium,Essendon,Sydney,9,10,64,18,6,114
2014,4479,9,Round 9,Round 9,0,2014-05-17,MCG,Richmond,Melbourne,9,20,74,14,7,91
2014,4480,9,Round 9,Round 9,0,2014-05-17,Docklands Stadium,North Melbourne,Brisbane,17,23,125,6,2,38
2014,4481,9,Round 9,Round 9,0,2014-05-17,Subiaco Oval,Fremantle,Geelong,13,18,96,9,10,64
2014,4482,9,Round 9,Round 9,0,2014-05-18,Docklands Stadium,St Kilda,Gold Coast,13,9,87,19,11,125
2014,4483,10,Round 10,Round 10,0,2014-05-23,Kardinia Park,Geelong,North Melbourne,16,15,111,13,13,91
2014,4484,10,Round 10,Round 10,0,2014-05-24,Sydney Showground Stadium,GWS,Richmond,5,11,41,24,10,154
2014,4485,10,Round 10,Round 10,0,2014-05-24,MCG,Collingwood,West Coast,17,7,109,15,11,101
2014,4486,10,Round 10,Round 10,0,2014-05-24,Adelaide Oval,Port Adelaide,Hawthorn,15,10,100,13,8,86
2014,4487,10,Round 10,Round 10,0,2014-05-25,Carrara Stadium,Gold Coast,Western Bulldogs,18,11,119,10,14,74
2014,4488,10,Round 10,Round 10,0,2014-05-25,MCG,Carlton,Adelaide,12,9,81,10,16,76
2014,4489,11,Round 11,Round 11,0,2014-05-29,SCG,Sydney,Geelong,22,16,148,5,8,38
2014,4490,11,Round 11,Round 11,0,2014-05-30,Docklands Stadium,St Kilda,Collingwood,8,6,54,21,14,140
2014,4491,11,Round 11,Round 11,0,2014-05-31,Traeger Park,Melbourne,Port Adelaide,11,9,75,14,11,95
2014,4492,11,Round 11,Round 11,0,2014-05-31,Gabba,Brisbane,Carlton,14,14,98,13,13,91
2014,4493,11,Round 11,Round 11,0,2014-05-31,MCG,Essendon,Richmond,15,14,104,7,12,54
2014,4494,11,Round 11,Round 11,0,2014-06-01,Adelaide Oval,Adelaide,Gold Coast,16,13,109,11,11,77
2014,4495,11,Round 11,Round 11,0,2014-06-01,Docklands Stadium,Western Bulldogs,Fremantle,6,15,51,13,11,89
2014,4496,11,Round 11,Round 11,0,2014-06-01,MCG,Hawthorn,GWS,14,10,94,13,9,87
2014,4497,11,Round 11,Round 11,0,2014-06-01,Subiaco Oval,West Coast,North Melbourne,6,8,44,12,10,82
2014,4498,12,Round 12,Round 12,0,2014-06-06,Docklands Stadium,Geelong,Carlton,16,11,107,15,12,102
2014,4499,12,Round 12,Round 12,0,2014-06-07,York Park,Hawthorn,West Coast,19,9,123,12,7,79
2014,4500,12,Round 12,Round 12,0,2014-06-07,Adelaide Oval,Port Adelaide,St Kilda,19,15,129,9,5,59
2014,4501,12,Round 12,Round 12,0,2014-06-07,Sydney Showground Stadium,GWS,Essendon,9,12,66,11,15,81
2014,4502,12,Round 12,Round 12,0,2014-06-07,Docklands Stadium,Western Bulldogs,Brisbane,13,9,87,14,11,95
2014,4503,12,Round 12,Round 12,0,2014-06-08,Carrara Stadium,Gold Coast,Sydney,10,14,74,17,7,109
2014,4504,12,Round 12,Round 12,0,2014-06-08,Subiaco Oval,Fremantle,Adelaide,12,18,90,7,8,50
2014,4505,12,Round 12,Round 12,0,2014-06-08,Docklands Stadium,North Melbourne,Richmond,17,14,116,13,10,88
2014,4506,12,Round 12,Round 12,0,2014-06-09,MCG,Melbourne,Collingwood,3,10,28,8,13,61
2014,4507,13,Round 13,Round 13,0,2014-06-13,MCG,Carlton,Hawthorn,13,12,90,18,10,118
2014,4508,13,Round 13,Round 13,0,2014-06-14,MCG,Richmond,Fremantle,12,13,85,16,9,105
2014,4509,13,Round 13,Round 13,0,2014-06-14,SCG,Sydney,Port Adelaide,14,14,98,13,16,94
2014,4510,13,Round 13,Round 13,0,2014-06-14,Subiaco Oval,West Coast,Gold Coast,15,13,103,15,10,100
2014,4511,13,Round 13,Round 13,0,2014-06-14,Adelaide Oval,Adelaide,North Melbourne,16,13,109,10,13,73
2014,4512,13,Round 13,Round 13,0,2014-06-14,Gabba,Brisbane,GWS,12,8,80,19,11,125
2014,4513,13,Round 13,Round 13,0,2014-06-15,Kardinia Park,Geelong,St Kilda,20,13,133,5,7,37
2014,4514,13,Round 13,Round 13,0,2014-06-15,Docklands Stadium,Collingwood,Western Bulldogs,15,8,98,16,10,106
2014,4515,13,Round 13,Round 13,0,2014-06-15,MCG,Essendon,Melbourne,10,17,77,12,6,78
2014,4516,14,Round 14,Round 14,0,2014-06-20,MCG,Richmond,Sydney,7,9,51,9,8,62
